index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.sofoot.com/breves/portugal-le-fils-de-cristiano-ronaldo-marque-pour-la-premiere-fois-en-selection,https://www.sofoot.com/breves/portugal-le-fils-de-cristiano-ronaldo-marque-pour-la-premiere-fois-en-selection,0,www.sofoot.com,Portugal : Le fils de Cristiano Ronaldo marque pour la première fois en sélection,"A-t-il poussé le fils de Gonçalo Ramos sur le banc ? Convoqué pour la première fois en équipe du Portugal, catégorie…",https://back.new.sofoot.com/wp-content/uploads/2025/11/10395769-1400x933.jpg,2025-11-01T14:10:47Z,,"A-t-il poussé le fils de Gonçalo Ramos sur le banc ?
Convoqué pour la première fois en équipe du Portugal, catégorie des moins de 16 ans, Cristiano Ronaldo Junior (Al Nassr) na pas tardé à briller. … [+731 chars]",,fr,'Cristiano Ronaldo'
https://www.franceinfo.fr/economie/budget/budget-2026-il-faut-debureaucratiser-notre-administration-estime-le-candidat-horizons-a-la-mairie-de-paris-pierre-yves-bournazel_7590800.html,https://www.franceinfo.fr/economie/budget/budget-2026-il-faut-debureaucratiser-notre-administration-estime-le-candidat-horizons-a-la-mairie-de-paris-pierre-yves-bournazel_7590800.html,0,www.franceinfo.fr,"Budget 2026 : ""Il faut débureaucratiser notre administration"", estime Pierre-Yves Bournazel, candidat Horizons à la mairie de Paris","Invité politique de ""La Matinale"", Pierre-Yves Bournazel, conseiller municipal Horizons de Paris et candidat à la Mairie de Paris est revenu sur le vote du budget 2026 et sa candidature à la mairie de Paris.",https://www.franceinfo.fr/pictures/NL6fcJRy_UP4YzMqsSTGSuT1Kew/40x0:1450x793/1500x843/2025/11/02/pierre-yves-bournazel-matinale-2-690733e49085a568722417.jpg,2025-11-02T10:50:57Z,,"Invité politique de ""La Matinale"", Pierre-Yves Bournazel, conseiller municipal Horizons de Paris et candidat à la Mairie de Paris est revenu sur le vote du budget 2026 et sa candidature à la mairie d… [+4785 chars]",,fr,'Yves Bournazel'
https://www.lemonde.fr/politique/live/2025/11/02/en-direct-budget-2026-les-debats-sur-le-volet-recettes-reprennent-lundi-matin-avec-plus-de-2-400-amendements-a-examiner-l-incertitude-plane-sur-le-vote-solennel-prevu-mardi_6650405_823448.html,https://www.lemonde.fr/politique/live/2025/11/02/en-direct-budget-2026-les-debats-sur-le-volet-recettes-reprennent-lundi-matin-avec-plus-de-2-400-amendements-a-examiner-l-incertitude-plane-sur-le-vote-solennel-prevu-mardi_6650405_823448.html,0,www.lemonde.fr,"EN DIRECT, budget 2026 : les débats sur le volet recettes reprennent lundi matin avec plus de 2 400 amendements à examiner ; l’incertitude plane sur le vote solennel prévu mardi","Pour Philippe Juvin, rapporteur général du budget, « il est certain que la partie recettes ne sera pas adoptée dans les temps ». Le premier ministre, Sébastien Lecornu, rencontrera lundi les présidents des groupes parlementaires à l’Assemblée, a annoncé Matig…",https://img.lemde.fr/2025/11/01/484/0/5900/2950/1440/720/60/0/9789bd4_upload-1-w2iy7mi7rtqd-jmug251031030.jpg,2025-11-02T19:37:40Z,,"LAssemblée nationale a voté pour la transformation de limpôt sur la fortune immobilière (IFI) en « impôt sur la fortune improductive », résultat dune alliance hétéroclite réunissant le Rassemblement … [+2201 chars]",,fr,'Sébastien Lecornu'
https://www.lemonde.fr/politique/article/2025/11/03/budget-la-course-d-endurance-tres-incertaine-de-sebastien-lecornu-pour-convaincre_6651274_823448.html,https://www.lemonde.fr/politique/article/2025/11/03/budget-la-course-d-endurance-tres-incertaine-de-sebastien-lecornu-pour-convaincre_6651274_823448.html,0,www.lemonde.fr,Budget : « La course d’endurance très incertaine » de Sébastien Lecornu pour convaincre,"Une semaine après le début des discussions à l’Assemblée nationale sur la partie recettes du projet de loi de finances et à la veille de l’examen du projet de loi de financement de la Sécurité sociale, Matignon redoute l’éventualité de ne pouvoir doter la Fra…",https://img.lemde.fr/2025/10/31/0/0/7461/4974/1440/960/60/0/91ca90e_upload-1-1qdh2relr3pi-076138.jpg,2025-11-03T04:16:30Z,http://web.archive.org/web/20251103162251/https://www.lemonde.fr/politique/article/2025/11/03/budget-la-course-d-endurance-tres-incertaine-de-sebastien-lecornu-pour-convaincre_6651274_823448.html,"La ministre de la décentralisation, Françoise Gatel, le chef du gouvernement, Sébastien Lecornu, et le député (LR) de la Manche Philippe Gosselin, lors dune visite au centre de santé de Carentan (Man… [+1222 chars]",,fr,'nan nan'
https://www.ledauphine.com/politique/2025/11/03/budget-2026-son-adoption-au-parlement-tres-incertaine-que-peut-faire-le-gouvernement,https://www.ledauphine.com/politique/2025/11/03/budget-2026-son-adoption-au-parlement-tres-incertaine-que-peut-faire-le-gouvernement,0,www.ledauphine.com,"Décryptage. Budget 2026 : son adoption au Parlement très incertaine, que peut faire le gouvernement ?","Plus d’une semaine après le début des discussions à l’Assemblée nationale, le Premier ministre promet toujours d’ouvrir « toutes les voies de compromis ». Mais les intérêts contradictoires de chaque camp pourraient empêcher le gouvernement de faire voter un b…",https://cdn-s-www.ledauphine.com/images/CD6DA2B7-4F49-4D9C-9F1E-9B2F889FCCD6/FB1200/photo-1762192176.jpg,2025-11-03T19:00:00Z,,"« On peut chuter à nimporte quel moment », concédait Sébastien Lecornu samedi dans Le Parisien. Sans majorité et pressé par les échéances budgétaires, lex-ancien Premier ministre sait que son équilib… [+4255 chars]",,fr,'Premier ministre'
https://www.bfmtv.com/politique/parti-socialiste/budget-2026-olivier-faure-pense-qu-un-chemin-etroit-existe-pour-trouver-un-accord_AD-202511031000.html,https://www.bfmtv.com/politique/parti-socialiste/budget-2026-olivier-faure-pense-qu-un-chemin-etroit-existe-pour-trouver-un-accord_AD-202511031000.html,0,www.bfmtv.com,"Budget 2026: Olivier Faure ""pense qu'un chemin étroit"" existe pour trouver un accord","En plein débat budgétaire à l'Assemblée nationale, le premier secrétaire du Parti socialiste Olivier Faure déclare ce lundi sur BFMTV qu'un ""chemin étroit"" existe pour trouver un accord, mais laisse toujours planer la menace d'une censure.",https://images.bfmtv.com/1p_mDBvIv3XHMd5GPJEStjearNY=/0x0:1920x1080/1920x0/images/Olivier-Faure-sur-BFMTV-le-3-novembre-2025-2166051.jpg,2025-11-03T22:25:12Z,,"En plein débat budgétaire à l'Assemblée nationale, le premier secrétaire du Parti socialiste Olivier Faure déclare ce lundi sur BFMTV qu'un ""chemin étroit"" existe pour trouver un accord, mais laisse … [+2863 chars]",,fr,'Sébastien Lecornu'
https://www.lexpress.fr/politique/emmanuel-macron-lobsession-de-lheritage-il-pense-deja-a-sa-sortie-et-aussi-a-son-retour-GPRVFRPUTBDQ3CPY2CFIUMH66M/,https://www.lexpress.fr/politique/emmanuel-macron-lobsession-de-lheritage-il-pense-deja-a-sa-sortie-et-aussi-a-son-retour-GPRVFRPUTBDQ3CPY2CFIUMH66M/,0,www.lexpress.fr,"Emmanuel Macron, l'obsession de l'héritage : ""Il pense déjà à sa sortie… et aussi à son retour""","Obsédé par la défense de son action et de son bilan, le président peine à limiter son interventionnisme. Lâcher prise, une hantise ?",https://www.lexpress.fr/resizer/v2/OGHUM4CJPNEENEKRXPAQTYYHF4.jpg?auth=8d2c82a525a70cd7684e1841d5a7ae4d468365ceb82e384dc88076a8e7364f97&width=1200&height=630&quality=85&focal=872%2C425,2025-11-04T04:45:00Z,,"Les bons conseils sont éternels et le cours des choses révèle parfois à quel point ils étaient précieux. En ce début de mois de juillet 2022, malgré sa réélection, Emmanuel Macron nest pas dans la fo… [+12824 chars]",,fr,'Sébastien Lecornu'
https://www.huffingtonpost.fr/politique/article/emmanuel-macron-fait-son-retour-sur-le-terrain-malgre-une-impopularite-record_256718.html,https://www.huffingtonpost.fr/politique/article/emmanuel-macron-fait-son-retour-sur-le-terrain-malgre-une-impopularite-record_256718.html,0,www.huffingtonpost.fr,Emmanuel Macron fait son retour sur le terrain malgré une impopularité record,"Occupé sur la scène internationale, le Président n’avait plus fait de déplacement en France depuis près de deux mois. Il est à La Rochelle ce mardi 4 novembre.",https://focus.huffingtonpost.fr/2025/11/03/103/0/4541/2554/1820/1023/75/0/0531165_upload-1-8o9uemfqzqas-afp-20251030-82k33dl-v1-highres-francerdctogopoliticsdiplomacygovernmentaid.jpg,2025-11-04T04:45:09Z,,"POLITIQUE - Impuissant face à linstabilité politique, critiqué jusque dans son camp, désavoué par les Français Pour Emmanuel Macron, les derniers mois de mandat ressemblent à un long chemin de croix.… [+3783 chars]",,fr,'Emmanuel Macron'
https://www.franceinfo.fr/economie/budget/retraites-franchises-medicales-arrets-de-travail-les-dossiers-qui-risquent-d-enflammer-l-hemicycle-lors-des-discussions-sur-le-budget-de-la-securite-sociale_7592534.html,https://www.franceinfo.fr/economie/budget/retraites-franchises-medicales-arrets-de-travail-les-dossiers-qui-risquent-d-enflammer-l-hemicycle-lors-des-discussions-sur-le-budget-de-la-securite-sociale_7592534.html,0,www.franceinfo.fr,"Retraites, franchises médicales, arrêts de travail... Les dossiers qui risquent d'enflammer l'hémicycle lors des discussions sur le budget de la Sécurité sociale","Le texte, qui prévoit pas moins de 17,5 milliards d'euros d'économies, est débattu dans l'arène du Palais-Bourbon à partir de mardi. Le gouvernement a mis sur la table des mesures qui divisent la classe politique, même si Sébastien Lecornu se dit prêt à renon…",https://www.franceinfo.fr/pictures/QVfA8HO_wqIYbC-eXFOpwZdbChs/0x53:1024x629/1500x843/2025/11/03/080-hl-xbouzas-2939384-6908a59c9c258734613738.jpg,2025-11-04T04:58:27Z,,"Les députés ont beau encore ferrailler à propos du projet de loi de finances (PLF), ils vont devoir désormais s'atteler au budget de la Sécurité sociale (PLFSS). Les membres de la commission des affa… [+6729 chars]",,fr,'Sébastien Lecornu'
https://www.challenges.fr/idees/lecornu-le-funambule-de-lextreme-face-au-vote-du-budget_629479,https://www.challenges.fr/idees/lecornu-le-funambule-de-lextreme-face-au-vote-du-budget_629479,0,www.challenges.fr,"Lecornu, le funambule de l’extrême face au vote du budget","À peine nommé, Sébastien Lecornu s’est lancé dans une traversée à haut risque. Entre une droite allergique à l’impôt et une gauche convertie à la surtaxe, le nouveau Premier ministre avance sur un fil, sans filet mais avec un certain sens de l’équilibre.",https://www.challenges.fr/_ipx/f_jpg&w_1200&enlarge_true/cha/static/2025-11/42824.HR.jpg%3FVersionId=r8gvsYxab60eI3XaK6Y888YWOFmfp5F9,2025-11-04T05:15:00Z,,Le Français Charles Blondin (1824-1897) est devenu une vedette internationale en effectuant en 1859 la première traversée sur une corde des chutes du Niagara. On ne sait pas encore si Sébastien Lecor… [+3039 chars],,fr,'Sébastien Lecornu'
