,phrase,label,sentiment,subjectivity,language,count
Ukraine,Ukraine,LOC,0.032407499066589976,0.1386063053108508,fr,143
Paris,Paris,LOC,0.10960537795537789,0.3701383782883782,fr,130
Russie,Russie,LOC,0.030896247632575764,0.13951441592261912,fr,128
Turquie,Turquie,LOC,0.04401013017114714,0.1354059311686431,fr,118
États-Unis,États-Unis,LOC,0.043744798480289546,0.16382376440523758,fr,112
Maison Blanche,Maison Blanche,LOC,0.06317993543099924,0.0943657043311299,fr,94
France,France,LOC,0.07625730519480517,0.19167504451812953,fr,94
Etats-Unis,Etats-Unis,LOC,0.08838022506167664,0.17173768793930086,fr,93
Etat,Etat,LOC,0.10906158350693236,0.14733029147854731,fr,86
Washington,Washington,LOC,0.08753273985273981,0.14645822843822848,fr,75
RN,RN,LOC,0.06164229400229398,0.13275178710178706,fr,75
Kiev,Kiev,LOC,0.04401182151182151,0.11316036741036739,fr,65
la France,la France,LOC,0.0686109064640739,0.17220435881363494,fr,65
Moscou,Moscou,LOC,0.03573811327561327,0.10794528619528619,fr,60
État,État,LOC,0.11358755665238716,0.1498952215392894,fr,59
Capitole,Capitole,LOC,0.08538626700680266,0.12957270408163263,fr,56
Matignon,Matignon,LOC,0.1463277806071924,0.21898954531307474,fr,51
Arabie saoudite,Arabie saoudite,LOC,0.11426595744680852,0.15557624113475174,fr,47
Français,Français,LOC,0.1189961325711326,0.1489906929490263,fr,45
Londres,Londres,LOC,0.1040541863439591,0.10924619572346848,fr,44
Annecy,Annecy,LOC,-0.0028835363602805423,0.19091638981173858,fr,43
Chine,Chine,LOC,0.11244417903525047,0.16446691403834263,fr,35
Inde,Inde,LOC,0.15740827554798137,0.16832656069420776,fr,34
Saint-Pétersbourg,Saint-Pétersbourg,LOC,0.05124765512265514,0.12605339105339106,fr,30
Norvège,Norvège,LOC,0.061835894660894654,0.09259301346801348,fr,30
Royaume-Uni,Royaume-Uni,LOC,0.09181481066825893,0.11562347614071751,fr,29
Floride,Floride,LOC,0.08015005878894768,0.14374063051146385,fr,27
Belgique,Belgique,LOC,0.06254218004218003,0.13346398046398047,fr,26
Kremlin,Kremlin,LOC,0.04086524470899471,0.09352265211640211,fr,24
Loire-Atlantique,Loire-Atlantique,LOC,0.12067598343685301,0.14878053830227744,fr,23
Bruxelles,Bruxelles,LOC,0.0494665158074249,0.14158805588351045,fr,22
New Jersey,New Jersey,LOC,0.06936164529914532,0.09112957875457876,fr,20
Downing Street,Downing Street,LOC,0.039730934343434346,0.12021753246753249,fr,20
Californie,Californie,LOC,0.08578863826232248,0.16787385129490393,fr,19
Espagne,Espagne,LOC,0.1523113023887018,0.20661528916559876,fr,19
Nouméa,Nouméa,LOC,0.07174185463659148,0.12142857142857141,fr,19
Miami,Miami,LOC,0.1279801587301587,0.20207010582010582,fr,18
Allemagne,Allemagne,LOC,0.04875889850889851,0.21664808802308796,fr,18
Iran,Iran,LOC,-0.014069444444444459,0.14506944444444447,fr,18
