,phrase,label,sentiment,subjectivity,language,count
François Bayrou,François Bayrou,PER,0.12522321428571428,0.1793526785714286,fr,8
Robert De Niro,Robert De Niro,PER,0.06000000000000002,0.37812500000000004,fr,8
Gabriel Attal,Gabriel Attal,PER,0.1116531746031746,0.11557341269841269,fr,8
Sam H,Sam H,PER,0.05885317460317461,0.08646825396825397,fr,7
Evguéni Prigojine,Evguéni Prigojine,PER,0.07366666666666667,0.07145833333333333,fr,6
Mohammed ben Salmane,Mohammed ben Salmane,PER,0.224125,0.18946759259259258,fr,6
Chelsy Davy,Chelsy Davy,PER,0.19472222222222224,0.3355092592592593,fr,6
Roberto Saviano,Roberto Saviano,PER,0.06368055555555556,0.25229166666666675,fr,6
Benoît XVI,Benoît XVI,PER,0.031000000000000007,0.075,fr,5
Emily Blunt,Emily Blunt,PER,0.16593333333333332,0.192,fr,5
Jozef De Kesel,Jozef De Kesel,PER,0.18,0.24000000000000005,fr,5
Kylian Mbappé,Kylian Mbappé,PER,0.1776,0.1948,fr,5
Marylise Léon,Marylise Léon,PER,0.11817857142857144,0.1685714285714286,fr,5
Maeva Ghennam,Maeva Ghennam,PER,0.06875,0.2,fr,4
Éric Zemmour,Éric Zemmour,PER,0.08478787878787877,0.16045454545454546,fr,4
Marlène Schiappa,Marlène Schiappa,PER,0.146875,0.17083333333333334,fr,4
Antoine Assice,Antoine Assice,PER,0.049625,0.052500000000000005,fr,4
mardi le procu,mardi le procu,PER,0.00653571428571429,0.13637500000000002,fr,4
François Braun,François Braun,PER,0.2831666666666667,0.13791666666666666,fr,4
Paul-Henri Nargeolet,Paul-Henri Nargeolet,PER,0.0645,0.1825,fr,4
Carlos Tavares,Carlos Tavares,PER,-0.02071428571428571,0.039642857142857146,fr,4
Steve Holland,Steve Holland,PER,0.2306666666666667,0.14,fr,4
Gérard Larcher,Gérard Larcher,PER,0.09942424242424241,0.13170454545454546,fr,4
Nandita Bose,Nandita Bose,PER,0.2306666666666667,0.14,fr,4
Alexandre Loukachenko,Alexandre Loukachenko,PER,0.04905952380952381,0.1804464285714286,fr,4
Meryl Streep,Meryl Streep,PER,0.109375,0.20000000000000004,fr,4
Jean-Luc Mélenchon,Jean-Luc Mélenchon,PER,0.13333333333333333,0.10833333333333334,fr,3
Valérie Rabault,Valérie Rabault,PER,0.03944444444444444,0.16027777777777777,fr,3
Olivier Véran,Olivier Véran,PER,-0.07958333333333335,0.2354166666666667,fr,3
Golo Kanté,Golo Kanté,PER,0.034444444444444444,0.07777777777777778,fr,3
Prince Harry,Prince Harry,PER,0.20763888888888885,0.31666666666666665,fr,3
Wes Anderson,Wes Anderson,PER,0.0,0.10000000000000002,fr,3
Mikhaïl Chichkine,Mikhaïl Chichkine,PER,-0.03333333333333333,0.0,fr,3
Sébastien Chenu,Sébastien Chenu,PER,-0.009166666666666665,0.03888888888888889,fr,3
Vinícius Júnior,Vinícius Júnior,PER,0.8000000000000002,0.8000000000000002,fr,3
Luca Guadagnino,Luca Guadagnino,PER,0.03333333333333333,0.08333333333333333,fr,3
George Soros,George Soros,PER,-0.022499999999999992,0.30000000000000004,fr,3
Catherine Colonna,Catherine Colonna,PER,0.10000000000000002,0.0,fr,3
Jean-Philippe Vachia,Jean-Philippe Vachia,PER,0.115,0.10666666666666667,fr,3
Marc Bressant,Marc Bressant,PER,0.425,0.65,fr,3
Catherine Vautrin,Catherine Vautrin,PER,0.09181818181818181,0.15909090909090912,fr,3
Bruno Le Maire,Bruno Le Maire,PER,0.166984126984127,0.2844444444444444,fr,3
prince Andrew,prince Andrew,PER,0.14619047619047618,0.1880952380952381,fr,3
Sam Zirah,Sam Zirah,PER,0.06875,0.20000000000000004,fr,3
Peaky Blinders,Peaky Blinders,PER,0.04962222222222223,0.08800000000000001,fr,3
Fugue Américaine,Fugue Américaine,PER,0.11428571428571428,0.21428571428571427,fr,3
François Hollande,François Hollande,PER,-0.06625,0.1125,fr,3
Edouard Philippe,Edouard Philippe,PER,-0.04285714285714285,0.11607142857142856,fr,3
Laurent Wauquiez,Laurent Wauquiez,PER,0.02566666666666666,0.1288888888888889,fr,3
Ebrahim Raïssi,Ebrahim Raïssi,PER,0.06000000000000002,0.09166666666666667,fr,3
prince William,prince William,PER,0.011250000000000003,0.13375,fr,2
Sean Penn,Sean Penn,PER,0.33,0.37333333333333335,fr,2
Roselyne Bachelot,Roselyne Bachelot,PER,0.08875,0.24375,fr,2
Jean-Noël Barrot,Jean-Noël Barrot,PER,0.3,0.1,fr,2
Robert Niro,Robert Niro,PER,0.2,0.7,fr,2
Rachida Dati,Rachida Dati,PER,0.09766666666666665,0.15750000000000003,fr,2
Éric Dupond-Moretti,Éric Dupond-Moretti,PER,0.3,0.1,fr,2
Agnès Pannier-Runacher,Agnès Pannier-Runacher,PER,0.15,0.1,fr,2
Boris Podolsky,Boris Podolsky,PER,0.26,0.16,fr,2
Salut Emmanuel,Salut Emmanuel,PER,-0.31900000000000006,0.126,fr,2
Uini Atonio,Uini Atonio,PER,-0.31900000000000006,0.126,fr,2
Laure Lavalette,Laure Lavalette,PER,0.28,0.24,fr,2
franceinfo junior,franceinfo junior,PER,0.14,0.325,fr,2
duc de Sussex,duc de Sussex,PER,0.072,0.2,fr,2
Azali Assoumani,Azali Assoumani,PER,0.05550000000000001,0.06,fr,2
Jean Zay,Jean Zay,PER,0.22,0.1,fr,2
Joseph Losey,Joseph Losey,PER,0.028000000000000004,0.0,fr,2
Sergueï Choïgou,Sergueï Choïgou,PER,0.07499999999999998,0.12214285714285715,fr,2
Thomas Edison,Thomas Edison,PER,-0.2975,0.115,fr,2
Sylvie Lausberg,Sylvie Lausberg,PER,-0.024,0.172,fr,2
Laurence Ferrari,Laurence Ferrari,PER,0.030000000000000002,0.18333333333333332,fr,2
Shaan Kundomal,Shaan Kundomal,PER,0.15000000000000002,0.225,fr,2
Jay Johnston,Jay Johnston,PER,-0.10000000000000002,0.13333333333333333,fr,2
Ségolène Royal,Ségolène Royal,PER,-0.1,0.1625,fr,2
Elizabeth Warren,Elizabeth Warren,PER,0.12777777777777777,0.18333333333333332,fr,2
Valeri Guerassimov,Valeri Guerassimov,PER,0.01750000000000001,0.09880952380952382,fr,2
Adama Traoré,Adama Traoré,PER,0.15,0.15,fr,2
Christian Estrosi,Christian Estrosi,PER,0.275,0.15000000000000002,fr,2
Jennifer Lawrence,Jennifer Lawrence,PER,0.392,0.43999999999999995,fr,2
Ken Russell,Ken Russell,PER,0.028000000000000004,0.0,fr,2
Pierre Niney,Pierre Niney,PER,-0.2285714285714286,0.2571428571428571,fr,2
Vincent Bolloré,Vincent Bolloré,PER,-0.0029464285714285512,0.13571428571428573,fr,2
Andrei Troshev,Andrei Troshev,PER,0.21600000000000003,0.18,fr,2
Baba II,Baba II,PER,0.13333333333333333,0.03333333333333333,fr,2
Chris Brown,Chris Brown,PER,0.25125000000000003,0.225,fr,2
Drew Barrymore,Drew Barrymore,PER,-0.06666666666666668,0.13333333333333333,fr,2
Georgia Meloni,Georgia Meloni,PER,0.10062499999999999,0.15025,fr,2
duchesse de York,duchesse de York,PER,0.06928571428571428,0.05714285714285715,fr,2
Sarah Ferguson,Sarah Ferguson,PER,0.06928571428571428,0.05714285714285715,fr,2
Nicolas Bedos,Nicolas Bedos,PER,0.11333333333333334,0.08333333333333333,fr,2
Clara Schumann,Clara Schumann,PER,0.0,0.0,fr,2
Jean-Louis Debré,Jean-Louis Debré,PER,0.016,0.0,fr,2
Francis Letellier,Francis Letellier,PER,0.20916666666666667,0.1325,fr,2
Mgr Jozef De Kesel,Mgr Jozef De Kesel,PER,0.0,0.0,fr,2
Charles Sitzenstuhl,Charles Sitzenstuhl,PER,0.06,-0.012500000000000004,fr,2
Li Qiang,Li Qiang,PER,0.27,0.2041666666666667,fr,2
Robert Downey Jr,Robert Downey Jr,PER,0.0033333333333333335,0.0,fr,2
Brad Pitt,Brad Pitt,PER,0.04000000000000001,0.6,fr,2
Jacqueline Thomsen,Jacqueline Thomsen,PER,0.22,0.19999999999999998,fr,2
Jeff Mason,Jeff Mason,PER,0.19333333333333333,0.10000000000000002,fr,2
Renaud Dély,Renaud Dély,PER,-0.0017857142857142863,0.10892857142857142,fr,2
Trevor Hunnicutt,Trevor Hunnicutt,PER,-0.075,0.17,fr,2
Nicolas Vadot,Nicolas Vadot,PER,0.27,0.35,fr,2
James Bond,James Bond,PER,0.27,0.35,fr,2
Rima Abdul-Malak,Rima Abdul-Malak,PER,0.0725,0.0375,fr,2
Michel Eltchaninoff,Michel Eltchaninoff,PER,0.25166666666666665,0.18333333333333335,fr,2
Bruno Le Maire lundi,Bruno Le Maire lundi,PER,0.009285714285714283,0.1464285714285714,fr,2
Volodymy Zelensky,Volodymy Zelensky,PER,0.200625,0.24375,fr,2
Destin Commun,Destin Commun,PER,0.04,0.016666666666666663,fr,2
Anand Menon,Anand Menon,PER,0.024444444444444456,0.25,fr,2
Treat Williams,Treat Williams,PER,0.13,0.11199999999999999,fr,2
Di Rupo,Di Rupo,PER,-0.14966666666666667,0.09333333333333332,fr,2
Emmerson Mnangagwa,Emmerson Mnangagwa,PER,0.0,0.0,fr,1
Oh lord,Oh lord,PER,-0.1,0.15,fr,1
Arnold Schwarzenegger,Arnold Schwarzenegger,PER,0.034999999999999996,0.0875,fr,1
dAurore Bergé,dAurore Bergé,PER,0.196,0.08,fr,1
mère de Leandro,mère de Leandro,PER,0.28,0.325,fr,1
Valérie Pecresse,Valérie Pecresse,PER,0.196,0.08,fr,1
Melissa Cohen,Melissa Cohen,PER,0.095,0.145,fr,1
Steven Sonderbergh,Steven Sonderbergh,PER,0.034999999999999996,0.0875,fr,1
Lily Gladstone,Lily Gladstone,PER,0.0,0.0,fr,1
Victoria de Suède,Victoria de Suède,PER,0.11333333333333334,0.08333333333333333,fr,1
Indiana Jones,Indiana Jones,PER,-0.11000000000000001,0.226,fr,1
Pierre le Grand,Pierre le Grand,PER,-0.018571428571428572,0.19999999999999998,fr,1
Benoît Vitkine,Benoît Vitkine,PER,0.09000000000000001,0.14,fr,1
Réunion des Macronistes,Réunion des Macronistes,PER,-0.12181818181818184,0.2863636363636364,fr,1
Carla Bruni,Carla Bruni,PER,0.11333333333333334,0.08333333333333333,fr,1
Céline Dion,Céline Dion,PER,0.11333333333333334,0.08333333333333333,fr,1
Claude Lelouch,Claude Lelouch,PER,0.11333333333333334,0.08333333333333333,fr,1
Nicolas Tenzer,Nicolas Tenzer,PER,0.0,0.0,fr,1
Nicolas Ier,Nicolas Ier,PER,-0.018571428571428572,0.19999999999999998,fr,1
Vincent Jeanbrun,Vincent Jeanbrun,PER,0.196,0.08,fr,1
Evgeni Prigojine,Evgeni Prigojine,PER,-0.06,0.1142857142857143,fr,1
Kourtney Kardashian,Kourtney Kardashian,PER,0.11333333333333334,0.08333333333333333,fr,1
Pedro Sanchez,Pedro Sanchez,PER,0.17,0.08333333333333333,fr,1
Valérie M,Valérie M,PER,-0.0225,0.21250000000000002,fr,1
Dreana De Niro,Dreana De Niro,PER,0.175,0.3625,fr,1
Willy Borsus,Willy Borsus,PER,0.36,0.15000000000000002,fr,1
Jesse Plemons,Jesse Plemons,PER,0.0,0.0,fr,1
Caroline Sägesser,Caroline Sägesser,PER,0.25875000000000004,0.1625,fr,1
Léon Gautier,Léon Gautier,PER,-0.085,0.10000000000000002,fr,1
commando Kieffer,commando Kieffer,PER,-0.085,0.10000000000000002,fr,1
Ben Wallace,Ben Wallace,PER,-0.0075,0.1,fr,1
Alain Frachon,Alain Frachon,PER,0.28200000000000003,0.304,fr,1
John Fru Ndi,John Fru Ndi,PER,0.13333333333333333,0.03333333333333333,fr,1
Paul Biya,Paul Biya,PER,0.13333333333333333,0.03333333333333333,fr,1
Zakia Khattabi,Zakia Khattabi,PER,0.15857142857142856,0.1857142857142857,fr,1
Paco Pomet,Paco Pomet,PER,0.12888888888888891,0.2555555555555556,fr,1
Thierry Saegeman,Thierry Saegeman,PER,0.5,0.2,fr,1
