,phrase,label,sentiment,subjectivity,language,count
Sénat,Sénat,ORG,0.04428374143217895,0.30060899170274163,fr,56
Assemblée nationale,Assemblée nationale,ORG,0.035287797619047614,0.13057718253968256,fr,40
Elon Musk,Elon Musk,ORG,0.15683897243107772,0.1791593567251462,fr,38
Apple,Apple,ORG,0.10257034632034633,0.19865079365079372,fr,33
AFP,AFP,ORG,0.08266700205176769,0.1592224251443002,fr,32
Hamas,Hamas,ORG,0.10208919552669553,0.12828677398989902,fr,32
LR,LR,ORG,0.03982840401785714,0.15039583333333334,fr,32
Rassemblement national,Rassemblement national,ORG,0.06447112823074362,0.08770716996678535,fr,26
FTX,FTX,ORG,0.03737294372294372,0.564807215007215,fr,25
Assemblée,Assemblée,ORG,0.04448636363636364,0.1193988095238095,fr,20
Républicains,Républicains,ORG,0.07979915223665225,0.10047068428647377,fr,19
lAssemblée nationale,lAssemblée nationale,ORG,0.0668390376984127,0.1057924107142857,fr,16
LFI,LFI,ORG,0.018805194805194807,0.17001022126022128,fr,15
X,X,ORG,0.1340243730628346,0.16728957855331483,fr,14
Paris Hilton,Paris Hilton,ORG,0.24371856318284885,0.5107660791589363,fr,14
Time,Time,ORG,0.13707936507936508,0.18150793650793653,fr,14
Google,Google,ORG,0.13030769230769235,0.19209615384615383,fr,13
Macron,Macron,ORG,0.04470695970695971,0.11782051282051283,fr,13
Chambre des représentants,Chambre des représentants,ORG,0.03679137529137529,0.1162859362859363,fr,13
Parlement,Parlement,ORG,0.13005238095238095,0.8547321428571428,fr,12
Parlement européen,Parlement européen,ORG,0.04613973063973064,0.08843223905723907,fr,12
ONU,ONU,ORG,0.11222348484848484,0.1469426406926407,fr,12
New York Times,New York Times,ORG,-0.12906926406926403,0.19554440508985965,fr,11
Économie,Économie,ORG,-0.029213203463203462,0.16173376623376623,fr,11
Variety,Variety,ORG,0.09798989898989902,0.1902777777777778,fr,11
ministre de l’Intérieur,ministre de l’Intérieur,ORG,-0.002406532861078314,0.0613439590712318,fr,11
Economie,Economie,ORG,0.09464087301587301,0.11226190476190476,fr,10
Trump Organization,Trump Organization,ORG,0.13348055555555555,0.07091666666666666,fr,10
Travail,Travail,ORG,0.06879629629629629,0.1537037037037037,fr,9
FBI,FBI,ORG,0.1785185185185185,0.14259259259259258,fr,9
"AFP
","AFP
",ORG,0.11926278659611993,0.13644179894179895,fr,9
BFMTV,BFMTV,ORG,0.1164131054131054,0.08814458689458689,fr,9
Transports,Transports,ORG,0.009000000000000011,0.095,fr,8
Reuters,Reuters,ORG,0.04437500000000001,0.14250000000000002,fr,8
