,phrase,label,sentiment,subjectivity,language,count
François Bayrou,François Bayrou,PER,0.1372406120610267,0.1635790423981378,fr,199
Emmanuel Macron,Emmanuel Macron,PER,0.08839656694880574,0.15599402069737894,fr,134
Elon Musk,Elon Musk,PER,0.03996924582060454,0.21070990241642418,fr,115
Michel Barnier,Michel Barnier,PER,0.08517503108593535,0.14072503146971227,fr,94
Donald Trump,Donald Trump,PER,0.06733785444958393,0.17128318409140325,fr,73
Léon XIV,Léon XIV,PER,0.12821167139312303,0.6020089064161646,fr,62
Zohran Mamdani,Zohran Mamdani,PER,0.05568186667612897,0.19801410929689628,fr,61
David Beckham,David Beckham,PER,0.06559031198686373,0.27186473727422,fr,58
Stephen Colbert,Stephen Colbert,PER,0.041119047619047625,0.19492559523809525,fr,48
Bruno Retailleau,Bruno Retailleau,PER,0.03951428899383446,0.13364550537845987,fr,44
Gabriel Attal,Gabriel Attal,PER,0.07844532925782928,0.1344036894036894,fr,37
Brad Pitt,Brad Pitt,PER,0.09074983465608463,0.42290410052910066,fr,36
Charles III,Charles III,PER,0.09557291666666667,0.13018229166666667,fr,32
Volodymyr Zelensky,Volodymyr Zelensky,PER,0.10475282158317871,0.12801806328592044,fr,28
Jordan Bardella,Jordan Bardella,PER,0.05951034035409037,0.11788385225885224,fr,26
Karim Benzema,Karim Benzema,PER,0.15961231884057972,0.16844461697722568,fr,23
Pedro Sánchez,Pedro Sánchez,PER,0.07593720420993146,0.13399642024642025,fr,22
président de la République,président de la République,PER,0.15289920634920634,0.22027380952380957,fr,20
Friedrich Merz,Friedrich Merz,PER,0.051487259816207186,0.17003132832080203,fr,19
Andrew Cuomo,Andrew Cuomo,PER,0.04528071311404644,0.1857541224207891,fr,18
Lyna Khoudri,Lyna Khoudri,PER,0.1956834733893558,0.25546918767507004,fr,17
Pete Hegseth,Pete Hegseth,PER,0.0781505102040816,0.14059948979591838,fr,14
Kamala Harris,Kamala Harris,PER,0.03123809523809523,0.1663095238095238,fr,14
Rachida Dati,Rachida Dati,PER,0.09777724358974361,0.16499999999999998,fr,13
Marine Le Pen,Marine Le Pen,PER,0.06628658378658378,0.1439137771950272,fr,12
Justin Bieber,Justin Bieber,PER,0.1959775641025641,0.27460603632478636,fr,12
Nicolas Sarkozy,Nicolas Sarkozy,PER,0.13747429653679652,0.17034902597402599,fr,11
Olivier Marleix,Olivier Marleix,PER,0.06573809523809523,0.1488214285714286,fr,10
Pablo Picasso,Pablo Picasso,PER,0.09719047619047622,0.14128571428571432,fr,10
Mark Carney,Mark Carney,PER,0.3276666666666667,0.2705,fr,10
Narendra Modi,Narendra Modi,PER,0.08824603174603174,0.12230158730158731,fr,10
Tucker Carlson,Tucker Carlson,PER,0.06906666666666665,0.2162083333333334,fr,10
Vladimir Poutine,Vladimir Poutine,PER,0.03886363636363636,0.13521324354657688,fr,9
Premier ministre,Premier ministre,PER,0.2022469135802469,0.15612654320987654,fr,9
Krisztina Rady,Krisztina Rady,PER,-0.08999999999999998,0.21666666666666667,fr,9
Yves Bournazel,Yves Bournazel,PER,0.08683333333333332,0.16416666666666666,fr,8
Bertrand Cantat,Bertrand Cantat,PER,-0.1303333333333333,0.29958333333333337,fr,8
Edouard Philippe,Edouard Philippe,PER,0.1619032738095238,0.13523809523809527,fr,8
Giorgia Meloni,Giorgia Meloni,PER,0.05817857142857143,0.17066001400560224,fr,8
Angelina Jolie,Angelina Jolie,PER,0.19718602825745685,0.32273024594453165,fr,7
Robert Downey Jr,Robert Downey Jr,PER,0.047469387755102024,0.25175170068027214,fr,7
Ryan Gosling,Ryan Gosling,PER,0.27261904761904765,0.32738095238095244,fr,7
Lionel Messi,Lionel Messi,PER,-0.12757142857142859,0.34142857142857147,fr,7
Eric Ciotti,Eric Ciotti,PER,0.02757163471449186,0.15157699443413727,fr,7
Yaël Braun,Yaël Braun,PER,0.06268707482993198,0.12397959183673471,fr,7
Carlos Ghosn,Carlos Ghosn,PER,0.06249999999999999,0.1238095238095238,fr,7
Laurent Wauquiez,Laurent Wauquiez,PER,0.17634431045145332,0.13417207792207791,fr,7
Michael Mann,Michael Mann,PER,-0.00822222222222222,0.0938888888888889,fr,6
Tim Burton,Tim Burton,PER,0.2026666666666667,0.24500000000000002,fr,6
Taylor Swift,Taylor Swift,PER,0.07361111111111111,0.23333333333333336,fr,6
Marie Trintignant,Marie Trintignant,PER,-0.108,0.23722222222222222,fr,6
