keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Maria Corina Machado',fr,Venezuela,#aa3399,#aa3399,2,0.486050885000
'John M. Martinis',fr,USA,#18e8e8,#18e8e8,2,0.483650240000
'Sanae Takaichi',fr,Japan,#33aa99,#33aa99,3,0.462794904476
'Olivier Faure',fr,Frankreich,#e8e808,#e8e808,3,0.458930461184
'Sébastien Lecornu',fr,Frankreich,#e8e808,#e8e808,3,0.456255898569
'Mary E. Brunkow',fr,USA,#18e8e8,#18e8e8,3,0.453720094772
'Richard Robson',fr,Australien,#aa9933,#aa9933,1,0.450946694000
'Emmanuel Macron',fr,Frankreich,#e8e808,#e8e808,3,0.448407002633
'John Clarke',fr,USA,#18e8e8,#18e8e8,3,0.447416874791
'Elon Musk',fr,USA,#18e8e8,#18e8e8,3,0.436063417263
'Fred Ramsdel',fr,USA,#18e8e8,#18e8e8,1,0.435844606955
'Gérald Darmanin',fr,Frankreich,#e8e808,#e8e808,3,0.434184999658
'Bezalel Smotrich',fr,Israel,#3311cc,#3311cc,3,0.433975359068
'Michel Barnier',fr,Frankreich,#e8e808,#e8e808,3,0.433668432994
'Shimon Sakaguchi',fr,Japan,#33aa99,#33aa99,1,0.433202265187
'Susumu Kitagawa',fr,Japan,#33aa99,#33aa99,1,0.432776572270
'Vladimir Poutine',fr,Russland,#e81818,#e81818,3,0.432703362033
'François Bayrou',fr,Frankreich,#e8e808,#e8e808,3,0.431318266173
'Volodymyr Zelensky',fr,Ukraine,#e818e8,#e818e8,3,0.430050875127
'Charlie Kirk',fr,USA,#18e8e8,#18e8e8,3,0.430032670738
'Robert de Niro',fr,USA,#18e8e8,#18e8e8,3,0.429215236293
'Mark Carney',fr,Kanada,#55ee33,#55ee33,3,0.429125494385
'Whoopi Goldberg',fr,USA,#18e8e8,#18e8e8,1,0.429119676187
'Yaël Braun-Pivet',fr,Frankreich,#e8e808,#e8e808,3,0.428914536560
'Hillary Clinton',fr,USA,#18e8e8,#18e8e8,3,0.428815403625
'Christian Dürr',fr,Deutschland,#335599,#335599,1,0.428593246867
'Anne Hathaway',fr,USA,#18e8e8,#18e8e8,1,0.428191952952
'Paul Konerko',fr,USA,#18e8e8,#18e8e8,1,0.427902059977
'Lil Yachty',fr,USA,#18e8e8,#18e8e8,1,0.427859306015
'Francesca Albanese',fr,Italien,#33dd55,#33dd55,2,0.427463404751
'Pete Hegseth',fr,USA,#18e8e8,#18e8e8,3,0.427391528778
'Nicolas Sarkozy',fr,Frankreich,#e8e808,#e8e808,3,0.427350653624
'Le Pen',fr,Frankreich,#e8e808,#e8e808,3,0.427330077325
'Omar M. Yaghi',fr,USA,#18e8e8,#18e8e8,2,0.426650165000
'Itamar Ben-Gvir',fr,Israel,#3311cc,#3311cc,2,0.426276178250
'Curtis Yarvin',fr,USA,#18e8e8,#18e8e8,1,0.425824791633
'Joel Mokyr',fr,USA,#18e8e8,#18e8e8,1,0.425784906666
'Peter Howitt',fr,USA,#18e8e8,#18e8e8,1,0.425541036040
'László Krasznahorkai',fr,Ungarn,#99aa33,#99aa33,1,0.425540916040
'Mareike Fallwickl',fr,Oesterreich,#5522dd,#5522dd,1,0.425231128589
'Laura Loomer',fr,USA,#18e8e8,#18e8e8,1,0.425000420000
'Munther Amira',fr,Palestina,#ee4488,#ee4488,1,0.425000000000
'Veronika Grimm',fr,Deutschland,#335599,#335599,1,0.425000000000
'Khaled al Serr',fr,Palestina,#ee4488,#ee4488,1,0.425000000000
'Philipp Aghion',fr,Frankreich,#e8e808,#e8e808,1,0.425000000000
'Iyad al-Rantisi',fr,Palestina,#ee4488,#ee4488,1,0.425000000000
'Stefan Kolev',fr,Deutschland,#335599,#335599,1,0.425000000000
'Justus Haucap',fr,Deutschland,#335599,#335599,1,0.425000000000
'Adnan al-Burj',fr,Palestina,#ee4488,#ee4488,1,0.425000000000
'Volker Wieland',fr,Deutschland,#335599,#335599,1,0.425000000000
'Marine Le Pen',fr,Frankreich,#e8e808,#e8e808,3,0.424276685479
'Rachida Dati',fr,Frankreich,#e8e808,#e8e808,3,0.424197073611
'David Beckham',fr,UK,#e838e8,#e838e8,2,0.423973992017
'Joe Biden',fr,USA,#18e8e8,#18e8e8,3,0.423494482442
'Greta Thunberg',fr,Schweden,#ddee11,#ddee11,3,0.423277158924
'Zohran Mamdani',fr,USA,#18e8e8,#18e8e8,2,0.422662315693
'Ehud Olmert',fr,Israel,#3311cc,#3311cc,2,0.422552699533
'Alexander Dobrindt',fr,Deutschland,#335599,#335599,1,0.422011114581
'Hailey Bieber',fr,USA,#18e8e8,#18e8e8,1,0.421345566371
'Brad Pitt',fr,USA,#18e8e8,#18e8e8,3,0.421254713532
'Élisabeth Borne',fr,Frankreich,#e8e808,#e8e808,3,0.421153327960
'Sam Altman',fr,USA,#18e8e8,#18e8e8,3,0.420044516934
'Marco Rubio',fr,USA,#18e8e8,#18e8e8,3,0.419634592786
'président de la République',fr,Frankreich,#e8e808,#e8e808,3,0.418815129164
'Katherina Reiche',fr,Deutschland,#335599,#335599,2,0.417351196439
'Robert Kennedy',fr,USA,#18e8e8,#18e8e8,2,0.416565446883
'Cruz Beckham',fr,Spanien,#33aa99,#33aa99,2,0.416486507318
'JD Vance',fr,USA,#18e8e8,#18e8e8,3,0.416148013787
'Benny Blanco',fr,USA,#18e8e8,#18e8e8,2,0.415845566696
'Ayatollah Khomeini',fr,Iran,#1144ee,#1144ee,1,0.415787349296
'Justin Bieber',fr,Kanada,#55ee33,#55ee33,1,0.415661532583
'Chris Wright',fr,USA,#18e8e8,#18e8e8,2,0.413317892528
'Marine Le Pen',fr,Frankreich,#e8e808,#e8e808,3,0.413082229489
'Tucker Carlson',fr,USA,#18e8e8,#18e8e8,1,0.413081360651
'Kamala Harris',fr,USA,#18e8e8,#18e8e8,3,0.411746883005
'Castel Gandolfo',fr,unknown,#111111,#111111,2,0.410727216211
'Julia Roberts',fr,USA,#18e8e8,#18e8e8,1,0.409754522170
'Nikki Haley',fr,USA,#18e8e8,#18e8e8,1,0.408667292393
'Jennifer Lopez',fr,USA,#18e8e8,#18e8e8,3,0.408636433536
'Stormy Daniels',fr,USA,#18e8e8,#18e8e8,1,0.408604237086
'Poutine',fr,Russland,#e81818,#e81818,3,0.408549993695
'Bruno Retailleau',fr,Frankreich,#e8e808,#e8e808,3,0.408210192965
'Barack Obama',fr,USA,#18e8e8,#18e8e8,3,0.407032730356
'Gabriel Attal',fr,Frankreich,#e8e808,#e8e808,3,0.406856956701
'Lachlan Murdoch',fr,UK,#e838e8,#e838e8,2,0.406727195342
'Bruno Le Maire',fr,Frankreich,#e8e808,#e8e808,3,0.405827052788
'Hans-Werner Sinn',fr,Deutschland,#1818e8,#1818e8,1,0.405414638799
'Stephen Colbert',fr,USA,#18e8e8,#18e8e8,3,0.403547618544
'Olaf Scholz',fr,Deutschland,#1818e8,#1818e8,3,0.402300970200
'Laurent Wauquiez',fr,Frankreich,#e8e808,#e8e808,3,0.401428797564
'James Comey',fr,USA,#18e8e8,#18e8e8,3,0.399633983157
'Ferdinand Dudenhöffer',fr,Deutschland,#1818e8,#1818e8,1,0.398287768375
'Éric Ciotti',fr,Frankreich,#e8e808,#e8e808,3,0.398063646122
"'Dwayne ""The Rock"" Johnson'",fr,USA,#18e8e8,#18e8e8,2,0.397800998044
'Victoria Beckham',fr,UK,#e838e8,#e838e8,1,0.397088725583
'Pedro Sánchez',fr,Spanien,#33aa99,#33aa99,3,0.395804610050
'Édouard Philippe',fr,Frankreich,#e8e808,#e8e808,2,0.395481046768
'Marjorie Taylor Greene',fr,USA,#18e8e8,#18e8e8,2,0.395399191502
'Léon XIV',fr,Vatikan,#dd5544,#dd5544,3,0.392503469334
'Mohammad Mustafa',fr,Palestina,#ee4488,#ee4488,2,0.392247018398
'Jean-Luc Mélenchon',fr,Frankreich,#e8e808,#e8e808,3,0.392207343793
'Kim Jong Un',fr,NordKorea,#e85858,#e85858,3,0.392045349472
'Matteo Salvini',fr,Italien,#33dd55,#33dd55,3,0.391121349031
'Premier ministre',fr,Frankreich,#e8e808,#e8e808,3,0.391002679859
'Bernie Sanders',fr,USA,#18e8e8,#18e8e8,1,0.390605511533
'Bärbel Bas',fr,Deutschland,#335599,#335599,1,0.390052427513
'Nathalie Emmanuel',fr,UK,#e838e8,#e838e8,3,0.389562300251
'Edouard Philippe',fr,Frankreich,#e8e808,#e8e808,3,0.389478640354
'Bradley Cooper',fr,USA,#18e8e8,#18e8e8,2,0.384693998429
'Radical Optimism',fr,unknown,#111111,#111111,1,0.384209541779
'Sergio Mattarella',fr,Italien,#33dd55,#33dd55,1,0.384054677998
'Narendra Modi',fr,Indien,#995533,#995533,3,0.383643254088
'Javier Milei',fr,Argentinien,#6622bb,#6622bb,3,0.382753088644
'Francis Ford Coppola',fr,unknown,#111111,#111111,2,0.382586978738
'Ron Howard',fr,unknown,#111111,#111111,1,0.381890005685
'Jake Paul',fr,unknown,#111111,#111111,1,0.379627453276
'Henry Samuel',fr,unknown,#111111,#111111,2,0.379283430693
'Paul Biya',fr,unknown,#111111,#111111,3,0.378915563375
'Benjamin Nethanaju',fr,Israel,#3311cc,#3311cc,1,0.378183378568
'Billie Eilish',fr,unknown,#111111,#111111,2,0.377465916690
'Robert Prevost',fr,unknown,#111111,#111111,1,0.377348938233
'Michel H. Devoret',fr,USA,#18e8e8,#18e8e8,1,0.376536656136
'Valérie Hayer',fr,unknown,#111111,#111111,1,0.376343893204
'George Miller',fr,unknown,#111111,#111111,2,0.376093231959
'George Simion',fr,unknown,#111111,#111111,3,0.375676903850
'Jimmy Carter',fr,USA,#18e8e8,#18e8e8,1,0.375179327192
'Hilda Nakabuye',fr,Uganda,#4411ee,#4411ee,1,0.374616250000
'Chad Frischmann',fr,USA,#18e8e8,#18e8e8,1,0.374616250000
'Guy Ritchie',fr,unknown,#111111,#111111,1,0.374228753385
'Cristiano Ronaldo',fr,Portugal,#339933,#339933,3,0.374059443253
'Eric Ciotti',fr,Frankreich,#e8e808,#e8e808,3,0.373610914176
'Al Nassr',fr,unknown,#111111,#111111,1,0.373074136730
'Jennifer Garner',fr,USA,#18e8e8,#18e8e8,2,0.373039347050
'Ryan Gosling',fr,unknown,#111111,#111111,1,0.372574984318
'Chuck Schumer',fr,unknown,#111111,#111111,1,0.371713023031
'William Friedkin',fr,unknown,#111111,#111111,2,0.369946252027
'Ben Affleck',fr,unknown,#111111,#111111,1,0.369622451468
'Kara Hurst',fr,unknown,#111111,#111111,1,0.368475000000
'Gervonta Davis',fr,unknown,#111111,#111111,1,0.368458726253
'Andrew Cuomo',fr,unknown,#111111,#111111,1,0.366693460086
'Cameron Brink',fr,unknown,#111111,#111111,1,0.366649535379
'Sarah Stier',fr,unknown,#111111,#111111,1,0.366300418412
'Nicola Peltz',fr,unknown,#111111,#111111,1,0.365934249802
'Brooklyn Beckham',fr,unknown,#111111,#111111,2,0.365914573202
'Alois Rainer',fr,Deutschland,#335599,#335599,1,0.365704405000
'Thorsten Frei',fr,Deutschland,#335599,#335599,1,0.365554405000
'Carsten Schneider',fr,Deutschland,#335599,#335599,1,0.365404395049
'Karin Prien',fr,Deutschland,#335599,#335599,1,0.365404375000
'Gwede Mantashe',fr,Südafrika,#ee4411,#ee4411,1,0.365404375000
'Christiane Schenderlein',fr,Deutschland,#335599,#335599,1,0.365404375000
'Patrick Schnieder',fr,Deutschland,#335599,#335599,1,0.365404375000
'Steffen Kotre',fr,unknown,#111111,#111111,1,0.365404375000
'Dorothee Bär',fr,Deutschland,#335599,#335599,1,0.365404375000
'Anant Ambani',fr,Indien,#995533,#995533,1,0.365087340868
'Jimmy Kimmel',fr,unknown,#111111,#111111,2,0.364926839067
'Taylor Swift',fr,USA,#18e8e8,#18e8e8,2,0.364609666809
'Sherri Shepherd',fr,unknown,#111111,#111111,1,0.364547183443
'Mo Lewis',fr,unknown,#111111,#111111,1,0.364209610350
'Alexander De Croo',fr,Belgien,#2266bb,#2266bb,3,0.363839286260
'Eddie Hearn',fr,unknown,#111111,#111111,1,0.363735105123
'Greg Brockman',fr,unknown,#111111,#111111,1,0.363618650297
'Suleika Jaouad',fr,unknown,#111111,#111111,1,0.362871379895
'George Santos',fr,USA,#18e8e8,#18e8e8,2,0.361764971186
'LeBron James',fr,unknown,#111111,#111111,2,0.360570501986
